0.196,0.6,0.5,0.006,0.341,0,0.415
0.109,0.338,0.5,0.194,0.22,0.5,0.423
0.284,0.359,0,0.23,0.571,0,0.333
0.443,0.294,0,0.382,0.309,0,0.325
0.153,0.279,0.5,0.258,0.174,0,0.374
0.41,0.302,0,0.516,0.182,0.5,0.32
0.061,0.049,0.5,0.099,0.644,0,0.391
0.016,0.302,0.5,0.399,0.303,0.5,0.356
0.533,0.564,0,0.417,0.233,0.5,0.324
0.597,0.353,0,0.658,0.228,0.5,0.3
0.373,0.17,0,0.486,0.3,0.5,0.323
0.773,0.365,0,0.51,0.463,0.5,0.31
0.155,0.092,0.5,0.287,0.33,0.5,0.386
0.263,0.284,0,0.058,0.557,0,0.378
0.399,0.322,0,0.249,0.209,0.5,0.375
0.309,0.056,0.5,0.362,0.167,0.5,0.371
0.674,0.552,0,0.485,0.501,0,0.302
0.339,0.28,0.5,0.093,0.195,0.5,0.441
0.133,0.355,0.5,0.429,0.416,0,0.312
0.39,0.276,0,0.59,0.311,0.5,0.302
0.065,0.48,0,0.524,0.303,0,0.295
0.335,0.762,0.5,0.296,0.12,0,0.339
0.249,0.219,0,0.502,0.199,0.5,0.327
0.27,0.133,0.5,0.02,0.594,0,0.398
0.448,0.149,0,0.18,0.615,0,0.346
0.694,0.295,0,0.775,0.112,0,0.3
0.241,0.449,0.5,0.102,0.596,0,0.363
0.377,0.217,0.5,0.17,0.09,0.5,0.426
0.402,0.708,0.5,0.16,0.309,0,0.354
0.086,0.331,0.5,0.298,0.586,0,0.329
0.388,0.48,0,0.595,0.287,0,0.292
0.41,0.456,0,0.755,0.656,0,0.265
0.435,0.236,0.5,0.189,0.092,0.5,0.413
0.33,0.349,0.5,0.358,0.043,0.5,0.37
0.237,0.397,0.5,0.13,0.109,0.5,0.443
0.241,0.198,0,0.794,0.259,0,0.277
0.439,0.292,0,0.542,0.402,0,0.3
0.562,0.525,0,0.64,0.634,0,0.279
0.223,0.437,0,0.711,0.526,0,0.266
0.168,0.465,0.5,0.249,0.609,0,0.329
0.416,0.201,0,0.285,0.039,0.5,0.386
0.254,0.438,0.5,0.55,0.486,0,0.285
0.531,0.457,0,0.401,0.194,0.5,0.333
0.332,0.304,0,0.507,0.269,0.5,0.317
0.345,0.187,0,0.464,0.523,0.5,0.312
0.156,0.271,0.5,0.531,0.004,0.5,0.341
0.55,0.428,0,0.572,0.689,0,0.285
0.48,0.483,0,0.579,0.348,0,0.294
0.579,0.468,0,0.475,0.373,0,0.307
0.284,0.363,0.5,0.298,0.275,0,0.344
0.365,0.182,0,0.441,0.355,0.5,0.327
0.342,0.303,0,0.477,0.367,0,0.307
0.316,0.222,0,0.552,0.2,0.5,0.317
0.413,0.405,0,0.328,0.195,0.5,0.352
0.141,0.135,0.5,0.382,0.323,0.5,0.357
0.494,0.083,0.5,0.293,0.619,0,0.328
0.084,0.412,0,0.546,0.214,0,0.3
0.622,0.531,0,0.54,0.516,0,0.294
0.316,0.049,0.5,0.111,0.264,0.5,0.44
0.409,0.493,0,0.425,0.249,0,0.315
0.294,0.372,0,0.743,0.423,0,0.272
0.201,0.652,0.5,0.393,0.438,0,0.304
0.331,0.072,0.5,0.364,0.182,0.5,0.367
0.263,0.109,0.5,0.182,0.233,0.5,0.421
0.57,0.481,0,0.408,0.118,0.5,0.335
0.651,0.432,0,0.418,0.273,0.5,0.326
0.283,0.218,0.5,0.376,0.413,0.5,0.34
0.15,0.525,0,0.61,0.209,0,0.287
0.38,0.293,0.5,0.126,0.286,0,0.383
0.476,0.447,0,0.354,0.258,0.5,0.339
0.21,0.354,0,0.619,0.348,0.5,0.293
0.436,0.193,0.5,0.192,0.426,0.5,0.38
0.388,0.536,0.5,0.105,0.416,0,0.366
0.267,0.301,0,0.495,0.246,0,0.31
0.565,0.375,0,0.217,0.39,0.5,0.359
0.427,0.046,0,0.553,0.163,0.5,0.325
0.275,0.11,0,0.204,0.249,0.5,0.402
0.434,0.356,0,0.304,0.168,0.5,0.361
0.186,0.97,0.5,0.302,0.559,0,0.305
0.18,0.312,0.5,0.378,0.044,0.5,0.376
0.099,0.456,0,0.404,0.206,0.5,0.346
0.506,0.612,0,0.563,0.448,0,0.288
0.335,0.237,0,0.195,0.57,0,0.344
0.326,0.804,0.5,0.33,0.349,0,0.315
0.59,0.302,0,0.565,0.177,0.5,0.315
0.689,0.408,0,0.382,0.131,0.5,0.341
0.205,0.401,0,0.498,0.09,0.5,0.331
0.178,0.069,0.5,0.024,0.494,0.5,0.458
0.433,0.224,0,0.522,0.013,0.5,0.334
0.251,0.041,0,0.378,0.317,0.5,0.352
0.013,0.028,0.5,0.494,0.187,0.5,0.353
0.244,0.472,0.5,0.201,0.288,0.5,0.395
0.547,0.36,0.5,0.1,0.385,0,0.369
0.495,0.054,0,0.457,0.402,0.5,0.325
0.132,0.424,0,0.445,0.448,0,0.301
0.246,0.288,0.5,0.562,0.161,0.5,0.316
0.335,0.497,0.5,0.074,0.498,0,0.371
0.246,0.439,0.5,0.355,0.006,0.5,0.376
0.135,0.601,0.5,0.247,0.494,0,0.335
0.301,0.091,0,0.517,0.259,0.5,0.324
0.389,0.057,0.5,0.071,0.224,0.5,0.451
