idx: 285	0.321	0.345	0.357	1.022
idx: 289	0.344	0.321	0.342	1.007
idx: 305	0.311	0.347	0.344	1.002
idx: 316	0.351	0.329	0.337	1.017
idx: 321	0.360	0.316	0.332	1.007
idx: 323	0.336	0.328	0.343	1.007
idx: 325	0.366	0.339	0.344	1.049
idx: 329	0.332	0.328	0.341	1.001
idx: 330	0.363	0.324	0.331	1.017
idx: 336	0.327	0.346	0.346	1.019
idx: 337	0.359	0.332	0.350	1.041
idx: 339	0.346	0.349	0.352	1.047
idx: 346	0.325	0.336	0.345	1.005
idx: 350	0.351	0.336	0.345	1.032
idx: 352	0.334	0.338	0.342	1.013
idx: 357	0.344	0.326	0.335	1.006
idx: 358	0.342	0.345	0.355	1.042
idx: 360	0.358	0.337	0.344	1.040
idx: 368	0.358	0.328	0.342	1.028
idx: 369	0.360	0.337	0.352	1.049
idx: 370	0.353	0.351	0.345	1.050
idx: 371	0.357	0.342	0.345	1.043
idx: 373	0.317	0.345	0.347	1.009
idx: 377	0.359	0.320	0.323	1.001
idx: 385	0.347	0.349	0.349	1.045
idx: 392	0.341	0.335	0.342	1.018
idx: 396	0.340	0.332	0.329	1.001
idx: 401	0.356	0.332	0.341	1.030
idx: 403	0.338	0.347	0.354	1.039
idx: 406	0.336	0.326	0.342	1.005
idx: 407	0.329	0.343	0.345	1.017
idx: 413	0.355	0.336	0.339	1.030
idx: 415	0.328	0.345	0.348	1.022
idx: 427	0.349	0.342	0.354	1.045
idx: 430	0.343	0.330	0.342	1.015
idx: 431	0.334	0.349	0.349	1.032
idx: 432	0.316	0.338	0.352	1.006
idx: 434	0.351	0.344	0.331	1.026
idx: 439	0.329	0.327	0.346	1.002
idx: 440	0.324	0.338	0.346	1.008
idx: 457	0.331	0.329	0.343	1.003
idx: 458	0.342	0.323	0.338	1.004
idx: 461	0.353	0.328	0.338	1.020
idx: 464	0.340	0.347	0.354	1.041
idx: 469	0.338	0.335	0.347	1.020
idx: 471	0.347	0.331	0.341	1.019
idx: 473	0.340	0.343	0.347	1.030
idx: 475	0.344	0.345	0.355	1.044
idx: 476	0.331	0.338	0.343	1.012
idx: 498	0.346	0.339	0.350	1.035
idx: 500	0.343	0.341	0.343	1.026
idx: 506	0.337	0.332	0.333	1.003
idx: 507	0.341	0.344	0.345	1.029
idx: 508	0.330	0.327	0.350	1.007
idx: 510	0.352	0.323	0.328	1.003
idx: 511	0.321	0.345	0.337	1.003
idx: 516	0.351	0.348	0.335	1.034
idx: 525	0.351	0.323	0.352	1.027
idx: 526	0.338	0.331	0.343	1.011
idx: 527	0.327	0.341	0.355	1.023
idx: 533	0.323	0.337	0.349	1.009
idx: 534	0.318	0.345	0.348	1.011
idx: 539	0.340	0.326	0.334	1.001
idx: 541	0.327	0.342	0.339	1.008
