idx: 148	0.323	0.306	0.316	0.945
idx: 153	0.321	0.325	0.325	0.971
idx: 154	0.334	0.314	0.324	0.972
idx: 161	0.317	0.301	0.305	0.924
idx: 162	0.329	0.325	0.334	0.988
idx: 163	0.327	0.325	0.340	0.992
idx: 165	0.329	0.326	0.341	0.995
idx: 168	0.338	0.309	0.320	0.967
idx: 169	0.297	0.322	0.325	0.944
idx: 170	0.342	0.313	0.337	0.993
idx: 175	0.309	0.312	0.325	0.947
idx: 179	0.328	0.311	0.322	0.961
idx: 181	0.328	0.315	0.320	0.962
idx: 188	0.333	0.329	0.337	0.999
idx: 191	0.327	0.324	0.340	0.991
idx: 195	0.308	0.337	0.335	0.980
idx: 198	0.342	0.314	0.332	0.988
idx: 206	0.329	0.317	0.329	0.975
idx: 207	0.324	0.325	0.347	0.997
idx: 209	0.319	0.337	0.342	0.998
idx: 210	0.317	0.326	0.334	0.977
idx: 211	0.322	0.330	0.338	0.990
idx: 214	0.316	0.327	0.335	0.978
idx: 215	0.328	0.321	0.330	0.979
idx: 216	0.324	0.319	0.331	0.974
idx: 218	0.317	0.325	0.341	0.983
idx: 222	0.316	0.301	0.316	0.934
idx: 226	0.330	0.314	0.324	0.969
idx: 229	0.318	0.333	0.328	0.979
idx: 230	0.336	0.318	0.334	0.988
idx: 234	0.316	0.320	0.332	0.967
idx: 236	0.307	0.296	0.314	0.917
idx: 237	0.343	0.318	0.329	0.990
idx: 248	0.325	0.320	0.337	0.982
idx: 252	0.317	0.329	0.330	0.977
idx: 257	0.321	0.332	0.344	0.997
idx: 259	0.312	0.319	0.336	0.967
idx: 260	0.330	0.329	0.334	0.993
idx: 264	0.325	0.326	0.346	0.998
idx: 275	0.314	0.322	0.321	0.958
idx: 280	0.316	0.326	0.325	0.967
idx: 281	0.315	0.323	0.334	0.973
idx: 284	0.333	0.327	0.329	0.988
idx: 288	0.335	0.316	0.336	0.986
idx: 290	0.330	0.324	0.333	0.987
idx: 291	0.308	0.344	0.347	0.999
idx: 294	0.337	0.310	0.327	0.975
idx: 297	0.319	0.321	0.321	0.961
idx: 299	0.325	0.330	0.329	0.983
idx: 302	0.325	0.302	0.320	0.947
idx: 315	0.322	0.330	0.341	0.993
idx: 317	0.327	0.299	0.315	0.941
idx: 318	0.336	0.320	0.328	0.984
idx: 319	0.310	0.304	0.319	0.934
idx: 320	0.316	0.337	0.345	0.998
idx: 324	0.337	0.319	0.338	0.993
idx: 328	0.321	0.312	0.326	0.958
idx: 331	0.324	0.335	0.339	0.998
idx: 332	0.333	0.321	0.326	0.980
idx: 335	0.317	0.329	0.342	0.988
idx: 340	0.321	0.292	0.311	0.923
idx: 343	0.304	0.313	0.322	0.940
idx: 345	0.335	0.313	0.328	0.975
idx: 347	0.332	0.325	0.333	0.990
idx: 349	0.326	0.315	0.326	0.967
idx: 351	0.317	0.332	0.342	0.992
idx: 353	0.314	0.330	0.340	0.984
idx: 356	0.344	0.321	0.334	0.999
idx: 363	0.352	0.320	0.327	0.999
idx: 367	0.330	0.325	0.336	0.991
idx: 374	0.313	0.330	0.341	0.984
idx: 375	0.340	0.315	0.341	0.996
idx: 383	0.308	0.322	0.326	0.956
idx: 384	0.318	0.324	0.328	0.970
idx: 389	0.339	0.315	0.330	0.984
idx: 390	0.329	0.304	0.329	0.962
idx: 394	0.334	0.312	0.329	0.975
idx: 399	0.314	0.328	0.341	0.983
idx: 402	0.324	0.320	0.337	0.981
idx: 411	0.324	0.330	0.339	0.993
idx: 412	0.328	0.322	0.318	0.968
idx: 416	0.311	0.330	0.345	0.986
idx: 417	0.340	0.301	0.312	0.953
idx: 418	0.335	0.320	0.337	0.991
idx: 425	0.333	0.327	0.329	0.989
idx: 428	0.333	0.336	0.330	0.999
idx: 433	0.311	0.320	0.325	0.955
idx: 437	0.325	0.325	0.335	0.984
idx: 441	0.328	0.318	0.331	0.977
idx: 443	0.332	0.317	0.335	0.984
idx: 445	0.321	0.321	0.326	0.968
idx: 446	0.324	0.321	0.337	0.982
idx: 447	0.310	0.339	0.337	0.986
idx: 448	0.340	0.313	0.332	0.985
idx: 451	0.316	0.331	0.333	0.980
idx: 452	0.298	0.303	0.317	0.918
idx: 455	0.323	0.323	0.331	0.977
idx: 460	0.323	0.318	0.332	0.973
idx: 466	0.326	0.327	0.336	0.989
idx: 470	0.307	0.345	0.345	0.996
idx: 479	0.316	0.335	0.334	0.985
idx: 481	0.347	0.308	0.318	0.974
idx: 484	0.317	0.317	0.328	0.962
idx: 485	0.325	0.329	0.343	0.997
idx: 486	0.324	0.330	0.335	0.989
idx: 487	0.316	0.339	0.341	0.995
idx: 491	0.331	0.317	0.327	0.974
idx: 493	0.313	0.333	0.342	0.987
idx: 496	0.304	0.332	0.328	0.964
idx: 504	0.326	0.319	0.345	0.989
idx: 509	0.326	0.330	0.341	0.998
idx: 512	0.317	0.307	0.320	0.944
idx: 513	0.320	0.328	0.329	0.978
idx: 519	0.317	0.296	0.303	0.916
idx: 529	0.322	0.323	0.328	0.973
idx: 531	0.351	0.310	0.331	0.993
idx: 537	0.334	0.323	0.335	0.992
idx: 543	0.325	0.315	0.322	0.962
idx: 547	0.325	0.322	0.337	0.984
idx: 549	0.336	0.318	0.337	0.990
idx: 551	0.319	0.335	0.332	0.986
idx: 557	0.309	0.325	0.339	0.973
idx: 558	0.325	0.325	0.318	0.967
idx: 560	0.325	0.328	0.325	0.978
idx: 564	0.348	0.306	0.324	0.978
idx: 565	0.300	0.322	0.338	0.960
idx: 567	0.342	0.296	0.314	0.952
idx: 574	0.319	0.324	0.328	0.971
idx: 575	0.314	0.336	0.334	0.984
idx: 577	0.318	0.333	0.342	0.993
idx: 585	0.297	0.326	0.328	0.951
idx: 586	0.321	0.313	0.335	0.969
idx: 590	0.323	0.306	0.318	0.946
idx: 591	0.324	0.323	0.334	0.981
idx: 593	0.311	0.337	0.341	0.988
idx: 594	0.330	0.302	0.321	0.953
idx: 599	0.309	0.331	0.331	0.971
idx: 605	0.343	0.318	0.336	0.998
idx: 611	0.317	0.314	0.327	0.958
idx: 614	0.328	0.321	0.320	0.970
idx: 617	0.327	0.316	0.338	0.981
idx: 622	0.328	0.322	0.330	0.979
idx: 623	0.321	0.313	0.322	0.955
idx: 629	0.305	0.343	0.348	0.995
idx: 631	0.326	0.318	0.334	0.978
idx: 632	0.317	0.323	0.336	0.976
idx: 633	0.336	0.313	0.326	0.975
idx: 639	0.315	0.300	0.308	0.923
idx: 642	0.334	0.328	0.333	0.994
idx: 644	0.323	0.316	0.321	0.960
idx: 646	0.358	0.308	0.320	0.986
idx: 647	0.316	0.330	0.339	0.985
idx: 648	0.313	0.326	0.337	0.976
idx: 650	0.341	0.316	0.336	0.992
idx: 653	0.321	0.326	0.331	0.978
idx: 666	0.321	0.327	0.342	0.990
idx: 667	0.327	0.328	0.337	0.992
idx: 669	0.340	0.320	0.333	0.993
idx: 673	0.339	0.324	0.332	0.996
idx: 675	0.317	0.337	0.326	0.980
idx: 676	0.313	0.327	0.328	0.968
idx: 679	0.321	0.320	0.326	0.968
idx: 685	0.323	0.323	0.324	0.970
idx: 687	0.326	0.324	0.338	0.988
idx: 693	0.306	0.315	0.329	0.950
idx: 695	0.306	0.317	0.332	0.956
idx: 700	0.331	0.319	0.330	0.979
idx: 702	0.338	0.302	0.316	0.956
idx: 705	0.339	0.309	0.323	0.972
idx: 710	0.306	0.330	0.335	0.971
idx: 713	0.333	0.327	0.338	0.997
idx: 721	0.316	0.313	0.321	0.950
idx: 722	0.319	0.324	0.337	0.980
idx: 723	0.314	0.324	0.333	0.971
idx: 725	0.343	0.313	0.324	0.980
idx: 730	0.318	0.327	0.328	0.973
idx: 733	0.332	0.328	0.337	0.998
idx: 736	0.338	0.314	0.322	0.973
idx: 743	0.329	0.318	0.327	0.975
idx: 745	0.308	0.321	0.330	0.959
idx: 751	0.320	0.312	0.317	0.950
idx: 753	0.316	0.341	0.338	0.995
idx: 754	0.320	0.323	0.331	0.973
idx: 756	0.330	0.312	0.331	0.973
idx: 759	0.320	0.319	0.325	0.964
idx: 761	0.327	0.323	0.339	0.990
idx: 762	0.305	0.303	0.310	0.918
idx: 770	0.305	0.327	0.323	0.955
idx: 776	0.328	0.319	0.317	0.964
idx: 779	0.332	0.318	0.333	0.983
idx: 783	0.336	0.314	0.332	0.982
idx: 788	0.331	0.328	0.339	0.999
idx: 789	0.304	0.327	0.338	0.968
idx: 790	0.343	0.306	0.316	0.965
idx: 797	0.319	0.325	0.336	0.980
idx: 798	0.334	0.316	0.339	0.989
idx: 801	0.315	0.328	0.335	0.979
idx: 804	0.347	0.319	0.322	0.988
idx: 806	0.329	0.324	0.341	0.995
idx: 807	0.330	0.332	0.337	0.999
idx: 808	0.314	0.334	0.340	0.987
idx: 809	0.326	0.314	0.327	0.966
idx: 813	0.314	0.336	0.346	0.996
idx: 814	0.327	0.294	0.316	0.937
idx: 815	0.318	0.320	0.329	0.967
idx: 817	0.322	0.322	0.344	0.988
idx: 824	0.333	0.314	0.321	0.968
idx: 827	0.331	0.316	0.339	0.986
idx: 828	0.332	0.322	0.333	0.987
idx: 833	0.330	0.309	0.330	0.968
idx: 836	0.332	0.323	0.339	0.994
idx: 838	0.321	0.320	0.334	0.975
idx: 839	0.320	0.303	0.323	0.946
idx: 841	0.323	0.327	0.319	0.970
idx: 843	0.314	0.341	0.343	0.997
idx: 855	0.321	0.326	0.336	0.982
idx: 856	0.350	0.310	0.335	0.996
idx: 859	0.324	0.309	0.323	0.955
idx: 861	0.337	0.314	0.334	0.985
idx: 863	0.319	0.327	0.345	0.991
idx: 865	0.320	0.337	0.336	0.993
idx: 866	0.319	0.333	0.332	0.984
